feature_type,hour,dow,month,1,Billet Yard,Billet Yard Left,Coil Yard,Coil Yard Camera-2,DISHPATCH GATE,ECR6 SBL,Finishing Stand,Furnace Oil Reading,Junk Yard,Mukandsumi,Mukansumi,NDT,PSM,SBL DUMPING YARD,SBL Loading,SBL MTA Desk,Utility Back Right,Utility Road Left,default
Camera Fault,2,4,7,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.736111111,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889
Camera Fault,2,4,9,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.413461538,0.413461538,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385
Camera Fault,2,4,12,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.387931034,0.387931034,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.00862069,0.043103448,0.043103448,0.00862069
Camera Fault,2,5,4,0.00952381,0.00952381,0.00952381,0.00952381,0.00952381,0.00952381,0.00952381,0.00952381,0.428571429,0.4,0.00952381,0.00952381,0.00952381,0.00952381,0.00952381,0.00952381,0.00952381,0.00952381,0.00952381,0.00952381
Camera Fault,2,5,7,0.010204082,0.010204082,0.010204082,0.010204082,0.010204082,0.010204082,0.010204082,0.010204082,0.428571429,0.387755102,0.010204082,0.010204082,0.010204082,0.010204082,0.010204082,0.010204082,0.010204082,0.010204082,0.010204082,0.010204082
Camera Fault,2,5,10,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.728571429,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714
Camera Fault,2,5,12,0.032128514,0.032128514,0.02811245,0.02811245,0.032128514,0.02811245,0.004016064,0.02811245,0.004016064,0.004016064,0.489959839,0.02811245,0.032128514,0.032128514,0.032128514,0.02811245,0.02811245,0.02811245,0.02811245,0.052208835
Camera Fault,2,6,1,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.441176471,0.382352941,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922,0.009803922
Camera Fault,2,6,4,0.019607843,0.019607843,0.019607843,0.019607843,0.019607843,0.019607843,0.019607843,0.019607843,0.019607843,0.019607843,0.62745098,0.019607843,0.019607843,0.019607843,0.019607843,0.019607843,0.019607843,0.019607843,0.019607843,0.019607843
Camera Fault,2,6,5,0.005780347,0.005780347,0.005780347,0.005780347,0.005780347,0.005780347,0.277456647,0.005780347,0.005780347,0.306358382,0.005780347,0.005780347,0.011560694,0.005780347,0.005780347,0.306358382,0.005780347,0.011560694,0.005780347,0.005780347
Camera Fault,2,6,7,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.68852459,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443
Camera Fault,2,6,10,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.405660377,0.424528302,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962,0.009433962
Camera Fault,3,0,1,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.68852459,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443
Camera Fault,3,0,5,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.414634146,0.43902439,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081
Camera Fault,3,0,8,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.698412698,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016,0.015873016
Camera Fault,3,0,10,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.716216216,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.040540541,0.013513514
Camera Fault,3,1,3,0.005847953,0.005847953,0.005847953,0.005847953,0.005847953,0.005847953,0.005847953,0.005847953,0.005847953,0.30994152,0.005847953,0.005847953,0.005847953,0.005847953,0.005847953,0.005847953,0.005847953,0.315789474,0.274853801,0.005847953
Camera Fault,3,1,5,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153,0.677966102,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153
Camera Fault,3,1,8,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.422764228,0.430894309,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081
Camera Fault,3,1,11,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.661971831,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.014084507,0.056338028,0.042253521,0.014084507
